token,Mean_Abs_SHAP,Mean_SHAP,Frequency
ngec,3.7015653710113836e-05,3.7015653710113836e-05,3
ngopi,3.6904630629578605e-05,3.6904630629578605e-05,1
densus,3.6751185230968985e-05,3.6751185230968985e-05,1
ang,3.611398935026955e-05,3.589320853643585e-05,5
jaya,3.594697693552007e-05,3.594697693552007e-05,1
15,3.587755905883729e-05,6.239694675434079e-06,3
cari,3.580394834352773e-05,3.580394834352773e-05,9
em,3.558339533605585e-05,-1.4793710264742983e-05,6
nag,3.5563065484893744e-05,3.5563065484893744e-05,2
lingkungan,3.52842387437704e-05,-3.52842387437704e-05,1
bener,3.5193490351957735e-05,4.409881148603745e-07,7
setiap,3.516060299337439e-05,3.516060299337439e-05,10
klarifikasi,3.5013237749808466e-05,-3.5013237749808466e-05,1
ragu,3.477067521453137e-05,3.477067521453137e-05,3
nama,3.470056868778163e-05,3.4691175800020866e-05,2
or,3.44506935471145e-05,3.423392699551186e-05,3
sejak,3.4395025002595506e-05,-3.4395025002595506e-05,1
strategi,3.383439114622888e-05,3.383439114622888e-05,2
dilewatkan,3.367938476003473e-05,3.367938476003473e-05,1
bayar,3.355618731075083e-05,3.355618731075083e-05,2
kas,3.3061033293051876e-05,3.3061033293051876e-05,1
ide,3.300180643418571e-05,3.300180643418571e-05,2
hati,3.290125404803095e-05,3.224139852480019e-05,7
bareng,3.279632878457051e-05,3.279632878457051e-05,2
terl,3.2712830345190014e-05,3.2712830345190014e-05,2
pasti,3.247632700913528e-05,2.233498230089026e-05,7
yu,3.23404109585681e-05,3.23404109585681e-05,1
kami,3.2151522573258264e-05,3.2151522573258264e-05,2
memiliki,3.1698842882178726e-05,-3.1698842882178726e-05,1
review,3.115422135329813e-05,2.210435309195844e-05,9
wor,3.106049154303036e-05,-3.106049154303036e-05,1
sultan,3.061208076906041e-05,-3.061208076906041e-05,3
yah,3.0418841206483193e-05,-3.0418841206483193e-05,3
adil,3.021865686053691e-05,2.9357915635713047e-05,5
sebagus,3.0214293423341586e-05,3.0214293423341586e-05,1
ekspektasi,3.0020334877917775e-05,3.0020334877917775e-05,3
jam,2.9918616278640303e-05,2.9918616278640303e-05,3
ng,2.9896662090462035e-05,2.4279694502044604e-05,10
th,2.9677615822895727e-05,2.8383287701269315e-05,2
jak,2.9308490917173914e-05,2.9308490917173914e-05,3
mau,2.8890547131825715e-05,2.773888318601808e-05,10
terimakasih,2.8849731432273985e-05,2.8849731432273985e-05,1
es,2.8460386835730686e-05,2.8445835937519505e-05,5
ketinggalan,2.8280233826080802e-05,2.8018606761179398e-05,2
yg,2.7606904169520044e-05,-2.7591776419206865e-05,39
membahas,2.745205397513928e-05,2.745205397513928e-05,1
bahas,2.682085562264547e-05,-2.211639676534105e-05,4
sc,2.6702563113455347e-05,4.7038191599616165e-06,3
netizen,2.6593918235448656e-05,1.8798399200022687e-05,6
lunas,2.6568622310151114e-05,2.6568622310151114e-05,1
wanya,2.6557593475445172e-05,2.6557593475445172e-05,1
mengetahui,2.6540735852904618e-05,2.6540735852904618e-05,1
untung,2.6508976470520593e-05,-2.0815366459121125e-05,4
jahanam,2.6431923979544082e-05,2.6431923979544082e-05,1
unik,2.5824967939115594e-05,2.5824967939115594e-05,3
sudah,2.579779690840662e-05,2.317491195590553e-05,11
otomatis,2.5749941829417367e-05,2.5749941829417367e-05,2
laen,2.558195399615215e-05,2.558195399615215e-05,2
teman,2.519047854730161e-05,2.519047854730161e-05,2
makasih,2.471116638480453e-05,2.471116638480453e-05,3
ka,2.464220638365886e-05,2.5606133159372905e-06,9
keajaiban,2.4471571363392285e-05,2.4471571363392285e-05,1
log,2.4352952619665304e-05,1.1787894647568465e-05,6
knalpot,2.4299687291204464e-05,-2.4299687291204464e-05,1
12,2.4244058339450824e-05,-2.424405833816683e-05,2
400,2.4085620775354875e-05,-2.408562077407088e-05,2
ketemu,2.403804009372834e-05,2.403804009372834e-05,1
ron,2.4010665798414267e-05,2.4010665798414267e-05,2
serahkan,2.3957641760716798e-05,-2.393358236622589e-05,2
demo,2.3941841107443907e-05,2.3941841107443907e-05,1
gosip,2.392606844659895e-05,-2.392606844659895e-05,1
jawab,2.3893326055258513e-05,-2.3893326055258513e-05,1
diduga,2.3761688062222675e-05,2.3761688062222675e-05,1
juara,2.362024826288689e-05,2.362024826288689e-05,2
lat,2.3513178781286115e-05,2.3513178781286115e-05,1
nom,2.3320510506891877e-05,2.3320510506891877e-05,1
si,2.3278224716551238e-05,1.465847935272065e-05,6
